news,code
납작하게 죽은 정수리 볼륨… ‘이것’ 바꾸면 되살아나,생활/문화
[뉴스9 날씨] 밤사이 눈·비…내일 찬바람 불며 추워져,생활/문화
‘KBS 금악리 폐기물 처리업체 논란’ 이달의 방송기자상 수상,생활/문화
[Tour List] 운치 있는 겨울 ‘못’ 풍경,생활/문화
"가야고분군, 세계유산 등재 인증서 인수",생활/문화
전북 내일 아침까지 비·눈…기온 떨어져,생활/문화
[날씨] 밤사이 다시 영하권 추위…아침까지 산발적 비·눈 조금,생활/문화
“지역 안무가 모십니다”…국립현대무용단 ‘상생사업’,생활/문화
"러시아에 겨울 폭풍 덮쳐…3명 사망, 200만명 단전",생활/문화
"""내가 탄 비행기도?""…항공기 8편 중 1편꼴로 '병원균 검출'",생활/문화
[Style] 따뜻하고 실용적인 주말여행 룩,생활/문화
'예수 신발'로 검색어 1위…미술계 악동 '미스치프'의 도발,생활/문화
2023년 11월 28일 중부 곳곳 눈·비 ‘운전 조심’[오늘의 날씨],생활/문화
"[포토] 위호텔제주, 겨울철 방어 프로모션",생활/문화
"[날씨] 내일 아침까지 산발적 눈, 비…다시 찬바람 강해져",생활/문화
'침수'에 가장 취약한 '동대문구'…안전한 자치구는 '종로구',생활/문화
유산소의 최고봉 '달리기'… 초심자가 부상 없이 뛰려면?,생활/문화
[Health Recipe] 겨울철 체온 사수법,생활/문화
진위 판별이 어려운 시대…美 출판사 올해의 단어는 '진짜',생활/문화
[날씨] 한낮에도 '쌀쌀'…다시 찾아오는 영하권 추위,생활/문화
상생안 마련 중인데…尹 ‘작심 비판’ 후 방통위도 카카오모빌리티 저격,생활/문화
[날씨] 수도권 밤까지 비…내일 서울 아침 영하 2도,생활/문화
[Cover Story] 2024년 강력한 트렌드 ‘여행의 귀환!’,생활/문화
'서울의 봄' 6일째 200만 명 돌파…'범죄도시 3' 이후 최단기간,생활/문화
"국립발레단, '호두까기인형' 다음달 9일 '예술의전당'서 막 올린다",생활/문화
'참군인' 고 김오랑 중령 재조명…200만 관객 부른 '서울의 봄',생활/문화
중국 82위·일본 87위라는데…한국인 영어 실력은 몇 위?,생활/문화
"단숨에 ‘200만 고지’ 점령한 ‘서울의 봄’… 12·12, 그 밤에 대한 관심 [엄형준의 씬세계]",생활/문화
"[내일 날씨] `뚝` 떨어진 기온, 오늘보다 더 추워요…중부 아침 영하로",생활/문화
연말 앞두고 가격 올리려던 오뚜기…결국 '인상 철회',생활/문화
건보 지역가입자 소득 정산제 안착 절실,생활/문화
140년 韓·獨 우정의 역사 덕수궁서 특별전,생활/문화
"주변국 매독 증가세 심상찮다… 정부, 전수 감시 내년 시작",생활/문화
MZ세대 달달한 ‘썸’타기… 멜로의 열기 이어갈까,생활/문화
"“술도 안마시는데”…50세 김창옥, 집 주소도 잊었다",생활/문화
"[날씨] 본격 겨울 추위 대비‥아침까지 비·눈 조금, 도로 살얼음 주의",생활/문화
"유인촌 ""웹툰 종주국, 정부 역할 키우도록 하겠다""",생활/문화
"수백억 기부했던 그의 양복은 낡았다…""돈은 똥"" 말한 '어른'",생활/문화
[날씨] 경남 내일 낮부터 기온 다시 낮아져…서부내륙 곳곳 비·눈,생활/문화
하필 그곳에… 공 맞고 암 발견한 사연,생활/문화
“지적장애와 달라요”… ‘경계선 지능장애’에 대한 오해와 진실[마음처방],IT/과학
`가짜 범람의 시대`…웹스터 2023년의 단어 `진짜`,IT/과학
"김동연 경기지사, 스페인 카탈루냐 주지사 면담",IT/과학
"바이셀스탠다드, ISO 27001 국제표준 보안인증 2년 연속 획득",IT/과학
벌써 다섯 번째 회의…‘카카오 창업자’ 김범수 “관리 체제 강화” 주문,IT/과학
"[사진] ""2030 엑스포 꿈은 이루어진다""",IT/과학
"11번가, 창사 이래 첫 희망퇴직 실시",IT/과학
[K-science ‘스타를 만나다’]⑬ ‘암세포를 색칠하다’ 구본경 IBS 유전체교정연구단장,IT/과학
"남부발전 안동빛드림본부, 취약계층에 사랑의 김장 후원",IT/과학
"한전KPS, 한국품질경영학회 최고품질경영자상 영예",IT/과학
[인터뷰] ‘지능형 교통체계 도시상’ 선정 ‘안양시’…기술 고도화의 배경은?,IT/과학
진위 판별이 어려운 시대…美 출판사 올해의 단어는 '진짜',IT/과학
"한난·KOICA·가스공사·서부발전, 중기 해외판로 활성화 협약",IT/과학
정체된 주력 사업의 ‘돌파구’로 국내 대기업들도 ‘AI’ 동분서주[ChatGPT AI 빅뱅 1년],IT/과학
상생안 마련 중인데…尹 ‘작심 비판’ 후 방통위도 카카오모빌리티 저격,IT/과학
예산부터 정하고 쓸 곳은 나중에?…절차 뒤바뀐 ‘글로벌 R＆D’,IT/과학
"박윤규부터 이용훈, 유지상까지… 통신개혁 일선 나선 차기 과기정통부 장관 후보자로 물망",IT/과학
"다음 뉴스검색 기본값 변경에 지역언론사들 ""풀뿌리 지역언론 말살""",IT/과학
“왜 SKT만 아이폰 통화녹음 돼?” 소비자 원성 ‘폭발’…3주동안 1억원 몰렸다,IT/과학
연구 중복 해소와 PBS 개선…두 마리 토끼 노리는 ‘국가기술연구센터’,IT/과학
"방심위, ‘가짜뉴스’ 신속 심의 절차 본격 시행",IT/과학
KT '보은투자' 의혹 서정식 현대오토에버 대표 사임,IT/과학
[기후변화는 지금] ‘눈 없는 겨울’ 온다…눈의 태양 빛 반사 줄어 온난화 가속,IT/과학
전 세계 개발자들 한자리에…올해 화두는 ‘생성형 AI’ [리인벤트 2023],IT/과학
쿵야 팝업스토어에 8만명 몰렸다,IT/과학
[K-science ‘스타를 만나다’]⑬ ‘암세포를 색칠하다’ 구본경 IBS 유전체교정연구단장,IT/과학
"[제11회 SW산업보호대상] ""K-콘텐츠 이어 K-SW도 해외로…불법복제율 10%대로 낮춰야""",IT/과학
"베스핀글로벌, 커넥티비티 클라우드 기업 `클라우드플레어`와 총판계약",IT/과학
"""느슨했다"" 질책받은 카카오...김범수 ""준법·인사·재무 밀착 관리하자""",IT/과학
"파수 ""생성형AI 민감정보 유출 사전 차단""",IT/과학
"“연구 실패해도 불이익 없다”…尹정부, 평가제 손보며 ‘과학계 달래기’",IT/과학
"베스핀글로벌, 클라우드플레어와 한국 총판 계약 체결",IT/과학
"“비타민C로 암까지 고친대” 철석같이 믿었던 환자들, 피눈물 나겠네",IT/과학
[뉴스라운지] 새로운 산업혁명 꿈꾸는 로봇 산업...한국 전망은?,IT/과학
[인사] 방송통신위원회,IT/과학
"""청룡이 인정한 기술력""…덱스터스튜디오, 영화 '더 문' VFX로 '기술상' 수상",IT/과학
"""과학입국"" 다시 꺼낸 尹대통령…'케네디 문샷'까지 언급한 까닭",IT/과학
이번엔 방통위…카카오모빌리티 등 개인위치정보 관리 점검,IT/과학
"사이냅소프트, 문서뷰어 SaaS 공공기관 시범서비스",IT/과학
"이종호 장관 ""대한민국, 디지털 심화시대 SW강국 도약""",IT/과학
"""중동·동남아, 국내SW기업 주인공 될 무대""",IT/과학
"삼성전자, 'AI폰' 상표 등록… 갤럭시 S24 탑재할 듯",IT/과학
"이종호 장관 ""도전적 R&D, 평가등급제 폐지…""단순 성패 안 따져""",IT/과학
"코알못도, 소상공인도 챗GPT 만드는 시대 [AI 빅뱅 1년①]",IT/과학
"경찰, '비자금 의혹' 김상철 한컴 회장 아들 영장 신청",IT/과학
"과기부, R&D 예산 후속 대책 발표…과학계 반발 여전",IT/과학
원천기술 개발 몰입할 수 있게 … 우수 연구자엔 사업화 지원까지,IT/과학
"네이버, 국가보훈부와 함께 ‘일상 속 보훈문화 확산’ 위한 MOU 체결",IT/과학
KT 기업용 LTE망 오류에 서울 소방 긴급출통 시스템 한시간반 먹통,IT/과학
"""개인정보 44만건 유출 위험""... 사이버 공격받은 日라인야후",IT/과학
"장수 모바일게임 '더프레이', 11월 퀴즈 인증 이벤트",IT/과학
"LGU+, 알뜰폰 유심 퀵배달 사업 만지작",IT/과학
“정우성 차라리 안봐?” 4천원 인상에 역풍 맞은 디즈니…다들 떠난다,IT/과학
"가입부터 해지, 중고폰까지 휴대폰 데이터 유출 막는다",IT/과학
"KIST, 신임 원장 선임 부결…재료연은 연임 실패",IT/과학
"네오위즈, 'P의 거짓 2023 팬아트 전시회' 개최",IT/과학
"쇄신 고삐 죄는 김범수…""카카오 책임 명확한 구조로 바꿀 것""",IT/과학
다음 시즌 김민재 활약상 ‘쿠팡플레이’로 보세요,IT/과학
동남아 사로잡은 SKT ‘이프랜드’... 글로벌 메타버스 시장 본격 공략,IT/과학
영화관 안 부럽네… 120인치로 집에서도 생생하게,IT/과학
"조수미·이정재·싸이, 엑스포 PT 등장…“공존의 도시 부산에 오세요” [엑스포 개최지 발표]",경제
미국 9월 주택가격 8개월 연속 상승…사상 최고가 또 경신,경제
"횡성 ‘디피코’, 사모펀드 운용사와 조건부 투자 계약",경제
"10월 유로존 통화공급량 10%↓…""M3 4개월째 감소""",경제
통역도 이젠 실시간으로…언어의 장벽 허무는 AI,경제
동해 묵호항 ‘항만대기질 관리구역’ 지정 요구,경제
구도심 강릉역 ‘역세권 개발’은 언제?,경제
강릉-부산 철도 내년 개통…기대 이하 속도,경제
[속보] 2030 엑스포 후보 3개국 최종 PT 종료…투표 절차 시작,경제
[뉴스초점] 2030 부산엑스포 '결전의 날'…최종 PT로 승부수,경제
오뚜기 이어 풀무원도…식품사들 가격인상 철회,경제
"""함께 나는 부산갈매기""…'인류 연대' 담론으로 마지막 표심잡기(종합)",경제
"농협은행, ELS 판매 중단…홍콩H지수 폭락에 손실 우려",경제
“내년 회사채 스프레드 축소…우량등급 선호 지속”,경제
금고 아래 손 넣으니 돈다발…고소득 유튜버도 고액 체납자 포함,경제
"울산시, ‘아이가 행복한 돌봄도시’ 3년간 8천억 투입",경제
엑스포 최종 PT 30분전 총회장 로비서 한·사우디 신경전(종합),경제
2020년 영남권 청년 75.9% 수도권으로 이동,경제
울산시 “파크골프장 운영 일본서 배운다”,경제
미국 주택가격 8개월 연속 상승…9월 전월대비 0.3%↑,경제
BIE 총회장 앞에서 부산엑스포 홍보,경제
"[마켓인]""난이도 높지만 전망은 확실""…항공산업에 눈 돌리는 PE",경제
"최태원 회장 ""부산 엑스포, 세계 위기에 맞춤형 솔루션 제공할 것"" [Busan is Ready]",경제
"[머니쇼 출사표]최현만 회장의 CEO 30년 원동력, 어머니의 한 마디",경제
"[BIE총회] “인류대전환 엑스포, 함께나는 부산갈매기”…'연대담론' PT로 표심잡기",경제
'연대담론' PT로 마지막 호소…부산 갈매기부터 박지우 박사까지,경제
하이파이브 하는 한덕수 총리와 최태원 회장,경제
"홍콩 리스크에…농협은행, ELS 판매 중단",경제
하이파이브 하는 한덕수 총리와 최태원 회장,경제
"반기문 전 유엔 사무총장, 2030부산엑스포 지지연설",경제
2030부산엑스포 지지연설 나선 반기문 전 유엔 사무총장,경제
2030부산엑스포 지지연설 나선 반기문 전 유엔 사무총장,경제
2030부산엑스포 지지연설 나선 반기문 전 유엔 사무총장,경제
"100만명 돌파한 AI·SW 교육 플랫폼…구름, 이용자 확보 비결은",경제
2030부산엑스포 최종 PT 연사로 나선 한덕수 국무총리,경제
"""인류대전환 엑스포, 함께나는 부산갈매기""…'연대담론' PT로 표심잡기",경제
욕설 논란에 카르텔 폭로까지…스텝 꼬인 김범수 쇄신안,경제
2030부산엑스포 지지연설 나선 반기문 전 유엔 사무총장,경제
"韓, 2030엑스포 경쟁 PT에 외국인 유학생 '깜짝 등장'",경제
2030부산엑스포 최종 PT 연사로 나선 한덕수 국무총리,경제
2030부산엑스포 최종 PT 연사로 나선 한덕수 국무총리,경제
2030부산엑스포 최종 PT 연사로 나선 한덕수 국무총리,경제
2030부산엑스포 최종 PT 나선 한덕수 국무총리,경제
2030부산엑스포 최종 PT 나선 한덕수 국무총리,경제
최종 PT 첫번째 연사로 나선 박형준 부산시장,경제
2030부산엑스포 핵심 비전 소개하는 나승연 홍보대사,경제
최종 경쟁 PT 연사로 나선 최태원 대한상의 회장,경제
세번째 연사 소개하는 나승연 부산엑스포 홍보대사,경제
2030부산세계박람회 공약 발표하는 최태원 대한상의 회장,경제
2030부산세계박람회 공약 발표하는 최태원 대한상의 회장,경제
"""부산엑스포, 목적지 아닌 시작점…미래세대 위한 대전환의 길""",경제
2030엑스포 경쟁 PT에 5개국 출신 외국인 유학생 깜짝 등장,경제
“타는 냄새가” 출근길 김포골드라인서 잇단 신고…확인해보니,경제
"""일시적 2주택 등 종부세 특별공제 요건 꼼꼼히 챙겨야"" [더 머니이스트-NH WM마스터즈의 금융톡톡!]",경제
"""부산은 준비됐다""...최종PT 연사 5명 차례로 '엑스포 전후' 비전 제시[엑스포, 결전의 날]",경제
2030엑스포 개최지 투표장 앞서 부산엑스포 홍보,경제
2030엑스포 개최지 투표장 앞서 부산엑스포 홍보,경제
부산의 매력 소개하는 박형준 부산시장과 마스코트 '부기',경제
최종 PT 첫번째 연사로 나선 박형준 부산시장,경제
"대구공항, 코로나19 이후 누적 항공여객 300만명 달성",경제
돈가스 3kg으로 85명 원생 배식한 어린이집 원장 재판行,사회
[뉴스특보 LIVE] 2030 엑스포 개최지 발표 “부산의 도전”,사회
동명이인 환자 명의로 '의료용 마약류' 처방받은 의사,사회
"""만원의 가치, 만원의 효용을 체감하는 기자협회""",사회
"""2024년 힘차고 따뜻한 기자협회 원년""",사회
세계일보 사건팀 장애인본부 ‘이달의 좋은 기사상’,사회
"""나에게, 우리에게, 세상에 쓸모 있는 기자협회""",사회
유튜버 일탈 어디까지…모텔서 수면제 투약하고 방송한 20대女,사회
"DMZ 해마루촌 마을주민, 동서대에 감사패·쌀 전달",사회
"강릉시, 옥계면·연곡면 일대 지적재조사사업 추진",사회
"횡성 ‘디피코’, 사모펀드 운용사와 조건부 투자 계약",사회
핵심 비전 소개하는 나승연 부산엑스포 홍보대사,사회
평창 국제올림픽 연구센터 컨퍼런스 개막,사회
"""우리 부산은요""…핵심 비전 소개하는 나승연 홍보대사",사회
며느리 살해한 시아버지 “아들 내외가 나 죽이려 했다”…‘피해 망상’ 추정,사회
“전쟁 폐허 극복한 부산의 저력 공유”… ‘연대의 엑스포’ 역설 [엑스포 개최지 선정],사회
채팅앱서 만난 또래 여학생 살해한 10대 남학생 구속기소,사회
동해 묵호항 ‘항만대기질 관리구역’ 지정 요구,사회
강릉 급발진 의심사고 민사소송 변론기일 열려,사회
[포토] ‘2023 장애인 먼저 실천상’ 시상식,사회
[속보] 2030 엑스포 후보 3개국 최종 PT 종료…투표 절차 시작,사회
강원도 농업 예산 삭감에 농업인단체 반발,사회
문제는 ‘생태’ 아닌 ‘인간’ 중심 환경정책,사회
최종 PT하는 박형준 부산시장,사회
"사유지서 버섯 따던 60대…""나가달라""는 주인 쇠파이프로 폭행해 실형",사회
최종 PT하는 한덕수 국무총리,사회
엑스포 최종 PT…공약 발표하는 한덕수 총리,사회
구도심 강릉역 ‘역세권 개발’은 언제?,사회
최종 PT하는 한덕수 국무총리,사회
최종 PT서 공약 발표하는 한덕수 국무총리,사회
삼엄한 대구교도소 재소자 이송작전…권총·테이저건 무장,사회
‘납치로 오해’ 택시서 뛰어내려 숨진 여대생…택시기사 등 ‘무죄’ 이유는,사회
강릉-부산 철도 내년 개통…기대 이하 속도,사회
"내스타일, '아이작 노벨' 선 봬",사회
[속보] 2030 엑스포 후보 3개국 최종 PT 종료…투표 절차 시작,사회
엑스포 최종 PT…지지연설하는 반기문 전 유엔 사무총장,사회
"강원문화재단, 공적 기금 투자 20억 원 손실…“절차 문제” 지적",사회
"반기문 전 유엔 사무총장, 엑스포 최종 PT서 지지연설",사회
엑스포 최종 PT…지지연설하는 반기문 전 유엔 사무총장,사회
"수능 끝난 청소년 일탈 않도록… 강동구, ‘합동 캠페인’ 실시",사회
부산의 매력 알리는 최태원 대한상의 회장,사회
최종 PT하는 최태원 대한상의 회장,사회
최종 PT 나선 박형준 부산시장,사회
최종 PT하는 박형준 부산광역시장,사회
"“결혼 축의금으로 줬던 50만원, ‘비혼 축의금’으로 되돌려 줘”…손절 위기?",사회
"""함께 나는 부산갈매기""…'인류 연대' 담론으로 마지막 표심잡기(종합)",사회
대구경북과학기술원 신임 총장에 이건우 서울대 전 공대 학장,사회
"""한국의 발전, 할아버지 꿈 이뤄졌다"" 참전용사 손녀 감동의 PT",사회
"방통위 'YTN·연합뉴스TV 민영화 심사', 단 2주 만에 일사천리",사회
[이세영의 세상읽기] 도박자금으로 사용하기 위하여 돈을 차용한 행위와 사기죄,사회
“대출 해줄테니 개인정보 달라”…‘대포 유심’ 2천 개 유통,사회
다음 '뉴스검색 기본값 CP사로 제한' 거센 반발,사회
주인 잃은 토지 34년만에 소유자 품으로…울산 중구 적극행정 빛났다,사회
"이성근 화백, 내년 2월 말까지 도화전",사회
한국일보 총급여 3% 인상… 경향신문 기본급 2.3% 올려,사회
"울산시, ‘드론실증도시 구축사업’ 우수 지자체 선정",사회
"밀양시의회, 제248회 정례회 개회",사회
"법원 ""방송사, 이희진 피해자들에 일부 배상하라""",사회
"진주시, 현장·수요자 중심의 규제혁신 펼쳐",사회
울산 남구 테크노산업로 일원 자율주행차 시범운행지구 지정,사회
"조수미·이정재·싸이, 엑스포 PT 등장…“공존의 도시 부산에 오세요” [엑스포 개최지 발표]",생활/문화
가짜 환자지만 정신병원 입원에 성공했습니다,생활/문화
